danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,artist_popularity,year,artistFeatured,billboard
0.507,0.197,-15.568,0.0406,0.689,0,0.214,0.497,128.946,79293,60,0,1992,0,0
0.467,0.324,-10.451,0.0255,0.615,0.0248,0.118,0.166,94.301,320267,75,77,1992,0,0
0.667,0.739,-6.353,0.0307,0.2,0,0.0876,0.916,93.259,177107,63,65,1992,0,0
0.629,0.364,-12.259,0.038,0.468,0.0198,0.0941,0.699,166.254,440467,66,73,1992,0,0
0.636,0.376,-12.381,0.0275,0.354,8.27E-05,0.0826,0.472,88.012,250027,66,74,1992,0,0
0.459,0.926,-3.415,0.155,0.0239,1.93E-05,0.183,0.569,151.534,243453,67,77,1992,0,0
0.785,0.793,-7.915,0.163,0.22,0.718,0.124,0.655,88.902,310600,62,60,1992,0,0
0.697,0.687,-11.111,0.379,0.26,4.80E-05,0.403,0.866,90.247,201373,64,70,1992,0,0
0.526,0.442,-10.133,0.0259,0.267,5.49E-05,0.106,0.284,131.055,212000,60,76,1992,0,0
0.404,0.925,-7.336,0.041,1.39E-06,0.628,0.0418,0.773,134.177,217813,60,71,1992,0,0
0.8,0.563,-10.209,0.0303,0.051,0,0.0797,0.961,121.808,203373,67,80,1992,0,0
0.558,0.524,-11.626,0.0459,0.321,0.000952,0.94,0.636,93.654,289027,70,77,1992,0,0
0.683,0.751,-10.184,0.0346,0.0681,8.36E-06,0.248,0.841,103.036,266560,64,55,1992,0,0
0.359,0.794,-5.908,0.0338,0.0133,0.000132,0.111,0.423,97.188,338227,63,74,1992,0,0
0.688,0.489,-7.848,0.0378,0.00053,0.00292,0.143,0.364,94.27,183000,59,74,1992,0,0
0.407,0.334,-6.661,0.0628,0.529,0,0.137,0.471,84.941,195373,66,77,1992,0,0
0.341,0.229,-15.795,0.0344,0.846,2.81E-06,0.101,0.131,126.852,160800,61,0,1992,0,0
0.761,0.683,-10.889,0.164,0.141,0,0.342,0.671,101.787,286693,62,53,1992,0,0
0.575,0.857,-3.961,0.155,0.0125,0.00229,0.145,0.623,117.413,294507,65,77,1992,0,0
0.697,0.608,-10.976,0.0463,0.0295,0,0.276,0.725,133.879,274533,60,55,1992,0,0
0.308,0.866,-5.671,0.059,0.000739,0.00141,0.232,0.227,109.825,438120,57,78,1992,0,0
0.831,0.915,-7.501,0.128,0.147,0.00571,0.196,0.881,102.979,216373,62,50,1992,0,0
0.309,0.596,-5.599,0.0293,0.101,0,0.21,0.161,164.587,394400,74,82,1992,0,0
0.757,0.69,-8.645,0.0286,0.198,0,0.078,0.867,128.654,168640,59,68,1992,0,0
0.717,0.512,-7.591,0.0404,0.701,0.000413,0.0919,0.831,98.891,228849,60,71,1992,0,0
0.411,0.893,-3.646,0.139,0.00563,0.00967,0.149,0.513,170.407,363853,65,77,1992,0,0
0.744,0.851,-10.108,0.049,0.0267,0.00738,0.0989,0.626,105.882,293600,59,73,1992,0,0
0.656,0.728,-12.39,0.0277,0.0214,0.000107,0.242,0.919,134.431,164693,57,66,1992,0,0
0.521,0.831,-8.183,0.0326,0.0592,0,0.344,0.693,138.803,254200,64,0,1992,0,0
0.686,0.609,-11.469,0.0444,0.258,0.00015,0.113,0.719,127.736,320573,61,55,1992,0,0
0.924,0.229,-9.68,0.445,0.579,0.00578,0.116,0.168,104.273,140227,57,74,1992,0,0
0.534,0.925,-5.198,0.035,0.00201,0.000692,0.134,0.753,166.9,271320,61,81,1992,0,0
0.86,0.807,-7.945,0.117,0.156,0.0217,0.104,0.551,97.363,211387,57,74,1992,0,0
0.414,0.514,-8.4,0.0405,0.676,4.19E-05,0.0579,0.789,170.933,200690,61,71,1992,0,0
0.236,0.261,-13.647,0.0374,0.955,0.0245,0.424,0.106,93.379,195067,56,0,1992,0,0
0.667,0.699,-7.574,0.026,0.42,0.000442,0.201,0.655,118.567,314173,68,77,1992,0,0
0.463,0.4,-9.999,0.0308,0.643,2.46E-05,0.131,0.121,77.314,249240,67,81,1992,0,0
0.624,0.407,-10.176,0.0263,0.887,0.000185,0.084,0.402,114.049,260533,57,63,1992,0,0
0.502,0.391,-12.374,0.0315,0.441,0,0.271,0.507,145.516,236533,61,63,1992,0,0
0.402,0.205,-11.232,0.038,0.758,0,0.147,0.42,143.994,189027,57,53,1992,0,0
0.728,0.618,-7.197,0.0368,0.708,0.000492,0.0715,0.91,97.278,190497,60,71,1992,0,0
0.433,0.46,-10.441,0.0343,0.606,4.36E-05,0.175,0.536,77.525,221867,59,65,1992,0,0
0.6,0.356,-7.725,0.0587,0.426,0,0.379,0.542,67.164,202093,63,77,1992,0,0
0.644,0.433,-14.016,0.113,0.378,0,0.101,0.761,80.161,266733,58,65,1992,0,0
0.586,0.344,-12.662,0.0324,0.829,0,0.281,0.55,109.948,160667,55,69,1992,0,0
0.615,0.72,-5.16,0.0658,0.068,0.0105,0.0889,0.696,94.002,226947,61,64,1992,0,0
0.888,0.822,-6.843,0.219,0.0025,0.0197,0.303,0.233,102.753,312360,55,45,1992,0,0
0.311,0.814,-9.272,0.0545,6.74E-05,0.00534,0.198,0.731,160.303,236400,59,54,1992,0,0
0.573,0.46,-10.655,0.0305,0.312,0,0.184,0.137,146.501,247840,60,73,1992,0,0
0.539,0.826,-8.037,0.0276,0.00224,0.0451,0.0832,0.669,134.718,233400,55,59,1992,0,0
0.69,0.651,-7.86,0.101,0.343,9.56E-05,0.178,0.691,79.305,225333,56,74,1992,0,0
